Item code,Description,Lead time (Days)
2163,*PURGE*SBS BOX PSS 6X6 COMPOSITE,21
2164,*PURGE*AMCOR PPG-30 16.625 IN PRTD PSS 4X4 COMP,56
2165,*PURGE*AMCOR PPG-30 15.125 IN PRTD PSS 6X6 COMP,96
2166,"""PURGE"" PSS WOUND TARGET GRID POUCHING PET 15.125 IN",42
2167,MUELLER LIGHTNING NO GLARE 4/SHT B90101,14
2168,MUELLER BATS NO GLARE 4/SHT B90102,14
2169,MUELLER CRESCENT NO GLARE 6/SHT  B90103,14
2170,MUELLER DOUBLE CLAW NO GLARE 6/SHT  B90104,14
2171,MUELLER DOUBLE X NO GLARE 4/SHT  B90105,14
2172,MUELLER HALF SUNBURST NO GLARE 4/SHT  B90106,14
2173,MUELLER INVERTED TRIANGLE NO GLARE 4/SHT B90107,14
2174,MUELLER PAINT BRUSH NO GLARE 6/SHT  B90108,14
2175,MUELLER ROUNDED TRIANGLE NG 4/SHT  B90109,14
2176,MUELLER SQUARES NO GLARE 6/SHT B90110,14
2177,MUELLER WAVY SQUARES NO GLARE 6/SHT B90111,14
2178,ETHICON STARGATE ARM WRAP  (Rev. D) D17263P01,14
2179,DM-6001 7.75 IN W/2 MIL PSA & DIFFERENTIAL 54# PAPER LNR,35
2180,PSS FLEX STRIP .25 X 3 SBS BOX #838,21
2181,*PURGE*AMCOR PPG-30 16.625 IN PRTD PSS 4 X 4.75,42
2182,PSS FLEX STRIP .25 X 3 PRTD TYVEK 7.25 #838,42
2183,*PURGE*AMCOR PPG-30 PSS 2.375X2.75 PRT 17.625 IN,42
2184,*PURGE*SBS BOX PSS 2 X 3 THIN FILM,21
2185,*PURGE*SBS BOX PSS 4 X 5 THIN FILM,21
2186,**INACTIVE**PSS THIN FILM 6X8 WNDW IN (SUB),7
2187,EASY REL 78# C1S-0 LNR 9.25 IN,21
2188,"**INACTIVE**PSS FLEX STRIP 1/2 X 4"" (SUB)",7
2189,*PURGE*SBS BOX PSS 6X8 THIN FILM,21
2190,*PURGE*AMCOR PPG-30 PRT 6X8 PSS 15.125 IN,96
2191,PSS FLEX STRIP .25 X 3 SBS TRAY #838,21
2192,"""PURGE"" MEDRAD PRINTED PPG-30PRT 5.625 IN (SUB)",21
2193,AMCOR/TECHPAQ PPG-30 PRT PSS 2X3 WOUND GRID  14.125 IN,96
2194,SBS BOX PSS 2X3 WOUND GRID,21
2195,*PURGE*PRTD INSERT PSS THIN FILM DRSG,21
2196,**INACTIVE**PSS FLEX STRIP 1/4X4 (SUB),7
2197,PSS FLEX STRIP .25 X 4 PRTD TYVEK 8.75 #837,42
2198,PRTD PSS WC INSERT,21
2199,PSS FLEX STRIP .25 X 4 SBS BOX #837,21
2200,PSS FLEX STRIP .25 X 4 SBS TRAY #837,21
2201,PSS FLEX STRIP .5 X 4 PRTD TYVEK 8.75 #836,35
2202,PSS FLEX STRIP .5 X 4 SBS BOX #836,35
2203,PSS FLEX STRIP .5 X 4 SBS TRAY #836,35
2204,"**INACTIVE**3M 1529 9"" X 350 YDS LNR SLIT 3""",35
2205,"**INACTIVE**3M 1529 3"" X 350 YDS",35
2206,"""PURGE""PRTD TYVEK 12.625 IN MEDLINE 4 IN ROUND FM DRSG",42
2207,**INACTIVE**REINFORCED WC STRIP 1/4 IN X 1.5 IN (SUB),7
2208,PSS .25 X 1.5 PRTD TYVEK 7.25 #4826,42
2209,PSS SUTURE STRIP .25 X 1.5 SBS BOX #4826,21
2210,PSS SUTURE STRIP .25 X 1.5 SBS TRAY #4826,21
2211,PSS CASE LABEL SUTURE STRIP .25 X 1.5 #4826,14
2212,"""PURGE"" ACTAVIS 4.25 IN SCANTAPE 650085+SA2P1 TAN",70
2213,**INACTIVE**REINFORCED WC STRIP 1/4 IN X 4 IN (SUB),7
2214,PSS SUTURE STRIP  .25 X 4 PRTD TYVEK 8.75 #4828,42
2215,PSS SUTURE STRIP.25 X 4 SBS BOX #4828,21
2216,PSS SUTURE STRIP .25 X 4 SBS TRAY #4828,21
2217,PSS CASE LABEL SUTURE STRIP .25 X 4 #4828,21
2218,**PURGE**REINFORCED WC STRIP 1/2 IN X 4 IN (SUB),7
2219,PSS SUTURE STRIP .5 X4 PRTD TYVEK 8.75 #4825,42
2220,PSS SUTURE STRIP .5 X 4 SBS BOX #4825,21
2221,PSS SUTURE STRIP .5 X 4 SBS TRAY #4825,21
2222,PSS CASE LABEL SUTURE STRIP .5 X 4 #4825,21
2223,**PURGE**REINFORCED WC STRIP 1/4 IN X 3 IN (SUB),7
2224,PSS SUTURE STRIP .25 X 3  PRTD TYVEK  7.25 #4827,42
2225,PSS SUTURE STRIP .25 X 3 SBS BOX #4827,21
2226,PSS SUTURE STRIP .25 X 3 SBS TRAY #4827,21
2227,PSS CASE LABEL SUTURE STRIP .25 X 3 #4827,14
2228,**INACTIVE**REINFORCED WC STRIP 1/8 IN X 3 IN (SUB),7
2229,PSS SUTURE STRIP .125 X3  PRTD TYVEK 7.25 #4829,42
2230,PSS SUTURE STRIP .125 X 3 SBS BOX #4829,21
2231,PSS SUTURE STRIP .125 X 3 SBS TRAY #4829,21
2232,PSS CASE LABEL SUTURE STRIP .125 X 3 #4829,21
2233,"**INACTIVE"" PSS FLEX STRIP 1/4 X 1 1/2 840 (SUB)",96
2234,PSS FLEX STRIP .25 X 1.5 PRTD TYVEK 7.25 #840,42
2235,PSS FLEX STRIP .25 X 1.5  SBS BOX #840,21
2236,PSS FLEX STRIP .25 X 1.5 SBS TRAY #840,21
2237,**INACTIVE**PSS FLEX STRIP 1/8 X 3 (SUB),96
2238,PSS FLEX STRIP .125 X 3 PRTD TYVEK 7.25 #839,42
2239,PSS FLEX STRIP .125 X 3 SBS BOX #839,21
2240,PSS FLEX STRIP .125 X 3 SBS TRAY #839,21
2241,**INACTIVE**PSS FLEX STRIP 1/4 X 3 838 (SUB),96
2242,BOX 5 X 5 X 5 #S-4050,3
2243,ACTAVIS 3 IN SCANTAPE 650085+SA2P1 TAN,90
2244,BOX 14 X 12 X 8 #S-4530,1
2245,BOX 14 X 11 X 6 #S-4145,1
2246,BOX 11 X 8 X 6 #S-4607,1
2247,"**INACTIVE**3M SJ4570 1"" CLEAR DUAL LOCK",35
2248,**INACTIVE**PSS 4X4 NS BAG LABEL #4790,21
2249,**INACTIVE**PSS 6X6 NS BAG LABEL #4791,21
2250,"""PURGE"" PSS CASE LABEL 6X6 NS #4791",21
2251,"""PURGE"" PSS CASE LABEL 4X4 NS #4790",21
2252,*PURGE*PSS 53# PRTD LINER 2.5 IN,28
2253,*PURGE*PSS 53# PRTD LINER 3 IN,28
2254,*PURGE*PSS 53# PRTD LINER 3.5 IN,28
2255,*PURGE*PSS 53# PRTD LINER 4 IN,28
2256,"""PURGE"" PSS 78# PRTD LINER 4.625 IN",28
2257,"""PURGE"" PSS 78# PRTD LINER 6.625 IN",28
2258,"""PURGE"" PSS EASY REL 78# PRTD LINER 9.25 IN",28
2259,**INACTIVE**PSS THIN FILM 2.375X2.75 WNDW OUT (SUB),7
2260,**PURGE**PSS THIN FILM 4X4.75 WNDW OUT (SUB),7
2261,*PURGE*PSS CASE LABEL 2X3 THIN FILM #4787,14
2262,*PURGE*PSS CASE LABEL 4X5 THIN FILM #4788,14
2263,SUS DATASCOPE PEDIATRIC BOX,21
2264,**INACTIVE**3M KN5076 FASTENING TAPE 2.75 IN,35
2265,**INACTIVE**HEMCON 3.85 X 1.85 FOAM DRSG RM7008,14
2266,**INACTIVE**HEMCON 1.85 X 1.85 FOAM DRSG,0
2267,*PURGE*PSS CASE LABEL 6X8 THIN FILM #4789,21
2268,*PURGE*PSS CASE LABEL 4X4 COMPOSITE #4794,21
2269,*PURGE*PSS CASE LABEL 6X6 COMPOSITE #4795,14
2270,SUS DATASCOPE ADULT BOX,21
2271,800 CLEAR NICODERM 21MG PLACEBO PATCH (SUB),0
2272,"**INACTIVE**LALINA .5"" x 3.5"" FASHION TAPE",14
2273,"""PURGE"" PSS INSERT 4X4 NS #4790",21
2274,"""PURGE"" PSS INSERT 6X6 NS #4791",21
2275,LABEL AQUASITE 2 X 3 HGEL POUCH,21
2276,LABEL AQUASITE 4 X 4 HGEL POUCH,21
2277,**INACTIVE**LABEL NEW & IMPROVED,21
2278,**INACTIVE**S&N DID 328 POLYURETHANE MASTER,35
2279,S&N DID 328 2.75 FILM X 3.75 CARRIER 1/2 EXT LNR EACH SIDE,35
2280,**IS&N DID 328 4.75 FILM X 5.75 CARRIER 1/2 EXT LNR ON EACH SIDE,35
2281,*PURGE*PSS CASE LABEL 2X10 RETN TAPE #4809,21
2282,*PURGE*PSS CASE LABEL 4X10 RETN TAPE #4810,14
2283,*PURGE*PSS CASE LABEL 6X10 RETN TAPE #4811,21
2284,"""PURGE"" PSS CASE LABEL 4X4 STRL #4792",21
2285,"""PURGE""PSS CASE LABEL 6X6 STRL #4793",21
2286,PSS CASE LABEL 2X3 WOUND GRID #926,21
2287,PSS CASE LABEL 4X5 WOUND GRID #927,21
2288,PSS CASE LABEL 6X8 WOUND GRID #928,21
2289,PSS CASE LABEL 1/2 X 4 FLEX STRIP #836,21
2290,PSS CASE LABEL 1/4 X 4 FLEX STRIP #837,21
2291,PSS CASE LABEL 1/4 X 3 FLEX STRIP #838,14
2292,PSS CASE LABEL 1/8 X 3 FLEX STRIP #839,21
2293,PSS CASE LABEL 1/4 X 1-1/2 FLEX STRIP #840,14
2294,3M 1522 3.0 IN,35
2295,**INAASKINA / CALGITROL AG SILVER ALGINATE 495 mm X 1.2M X 5-6mm,0
2296,*PURGE*3M 9833 2.75 FILM X 3.75 CARRIER 1/2 EL EACH SIDE,35
2297,*INACTIVE** 4.74 FILM X 5.75 CARRIER 1/2 EL EACH SIDE,35
2298,**INACTIVE**ARGENTUM 4 X 4 ISLAND DRSG NS; BULK,0
2299,**INACTIVE**ARGENTUM 6 X 6 ISLAND DRSG NS; POUCH,0
2300,ARGENTUM 3 x 16 PAD NS; BULK,14
2301,ARGENTUM 3 X 8 PAD NS; BULK,14
2302,**INACTIVE**KPK 117 WHITE 4 MIL PURACOL 2X2 14.125 IN,35
2303,**INACTIVE**KPK 117 WHITE 4 MIL PURACOL 4X4.25 12.0 IN,35
2304,**INACTIVE**1059B UNCTD TYVEK PURACOL PLUS 2X2.25 14.125 IN,42
2305,**INACTIVE**1059B UNCTD TYVEK PURACOL PLUS 4.25X4.40 12.0 IN,42
2306,3M 9851 1.0 IN,28
2307,"""PURGE"" DM-4034 7.85 IN 4 MIL PU PSA W/2 MIL & DIFF 54# LNR",56
2308,CS ARGENTUM DELSTAR 3.0 IN SILVER PAD,35
2309,**INACTIVE**ARGENTUM 6x6 ISLAND DRSG (SUB),7
2310,"**INACTIVE**3M 9916 46"" X 200LY",35
2311,**INACTIVE**TECHNIPAQ 9 X 13 1073B TYVEK POUCH,42
2312,KPK 117 WHITE 4 MIL 12.75 IN,28
2313,KPK 117 WHITE 4 MIL 14.875 IN,28
2314,CS AQUASITE 2X3 SBS BOX,21
2315,AQUASITE 4X4 SBS BOX,21
2316,**INACTIVE**AQUASITE 2X3 SBS BOX,21
2317,**INACTIVE**AQUASITE 4X4 SBS BOX,21
2318,MPM REPEL 6 X 8 (4 X 6) PU UP (SUB),14
2319,**INACTIVE**MPM 5 X 5 BORDERED FOAM DRESSING (SUB),14
2320,***inactive**MPM 9 X 9 BORDERED FOAM DRESSING (SUB),14
2321,IV TAPE LINER (SUB),7
2322,**INACTIVE**MEDI-TECH 4X5 NONBORDERED FOAM STERILE (SUB),14
2323,MPM NON BORDERED FOAM 4 x 4 DRESSING (SUB),14
2324,MPM NON BORDED FOAM DRESSING 6X6 (SUB),14
2325,MPM COOL MAGIC 3.75 X 3.75 HYGL SHT (SUB),14
2326,DERMA/MCKESS P/L 4X4 HYG SHT  STERILE (SUB),14
2327,**INACTIVE**BRENNAN LAKE SHOWER POUCH,14
2328,CARR RADIADRES #101052 GEL SHEET 4 x 4 (SUB),14
2329,**INACTIVE**CARR CARRADRES CLEAR #101053 GEL SHT 4 x 4 (SUB),14
2330,**INACTIVE**AFA AQUA BURN (SUB),14
2331,**INACTIVE*MPM 1 3/4 COOL MAGIC FEN. GEL PAD30/BAG 4bag/CS (SUB),14
2332,**INACTIVE**MPM COOL MAGIC 1 3/4 GEL PAD 510/CASE (SUB),14
2333,**INACTIVE**KPK-103 POUCHING PET 6.00 IN (SUB),35
2334,**INACTIVE**DC TAPE SLIT DM 7002 12.00 IN FROM TRUMED,35
2335,**INACTIVE**ADHESIVE  DM 7002 11.75  IN FROM TRUMED (SUB),35
2336,**INACTIVE**DC TAPE SLIT DM 7002 1.5 IN,35
2337,**INACTIVE**LINER PRINT  7.00 IN (SUB),21
2338,**INACTIVE**LINER BLANK FOR KISS CUT PROCESS 12.00 IN,21
2339,**INACTIVE**AFASSCO  2X3 AQUA SKIN BURN DRSG (SUB),14
2340,**INACTIVE**AFASSCO  1.5X2 AQUA SKIN BURN DRSG (SUB),14
2341,TATUDERM ROLLS 6 IN X 180 IN TD6X180-10,14
2342,TATUDERM ROLLS 6 IN X 5 LY (SUB) TD6X180-10,14
2343,**INACTIVE**MPM NON BORDERED FOAM 4 x 4 DRESSING MP00511C,14
2344,**INACTIVE**DERMARITE 6 X 8 TF DERMAVIEW II,14
2345,WHT PE 50 IN MFOLD (14/11/11/14) DLS PLAS,14
2346,"""PURGE"" 3M 9832W 6.0 IN / CENTER SCORED LINER",35
2347,CS TATUDERM LABEL,2
2348,**INACTIVE**HEMCON OTC BANDAGE (1/BOX) RM7059,14
2349,ETHICON STARGATE ARM WRAP (SUB),14
2350,"POUCH CORNER STYLE 11.25"" X 7"" 1059B TYVEK/MYLAR",42
2351,**INACTIVE**PHARMCHEM 2.375 X 2.75 UNPRINTED DRSG (SUB),7
2352,**INACTIVE**PHARMCHEM 2.375 X 2.75 UNPRINTED DRSG STERILE,14
2353,**INACTIVE**UNPRINTED PPG-30 PPR 14.125 IN,42
2354,GENERAL ECONOPAK FACE SHIELD,14
2355,BOX 11-1/4 X 8-3/4 X 6 #S-4609,2
2356,**INACTIVE**DERMAVIEW II  THIN FILM 6x8 (SUB),7
2357,AMCOR/TECHPAQ PPG-30 PRT 6X8 DERMARITE 15.125 IN,96
2358,3M 1527LX 4 IN,35
2359,**INACTIVE**SBS BOX DERMARITE 6X8 THIN FILM,21
2360,**INACTIVE**CS MPM 2X2 ML LABEL,0
2361,HEMCON PRTD FOAM 4.375 IN (SUB),7
2362,3M 1774W FOAM 4.375 IN,35
2363,HEMCON 1.0 X 3.875 OTC (SUB),14
2364,MEDIUM RELEASE 92# LNR 2.5 IN POLY COATED #92PKB50N,21
2365,HEMCON CHITOFLEX 1.375 IN (SUB),7
2366,**INACTIVE**CS HEMCON CHITOFLEX 3 X 28,0
2367,HEMCON PRINTED FOIL 8.5 IN RFE-013,70
2368,HEMCON RANDOM PRINT FOIL 8.5 IN RFE-013,70
2369,HEMCON OTC SBS BOX (1/BOX) RM7059,21
2370,DELSTAR 7.9 NLYB-E 4 IN,35
2371,"**INACTIVE**WEBTEC 2.375"" X 2.75"" THIN FILM DRSG BULK",14
2372,"**INACTIVE**WEBTEC 4"" X 4.75"" THIN FILM DRSG BULK",14
2373,**INACTIVE**TRANSILWRAP 10 MIL MELINEX 561 9 IN,35
2374,**INACTIVE**DWF .00125 LD MATTE 9 IN  (SUB),0
2375,**INACTIVE**MEDRAD PRESTO HANDI STRIP,14
2376,**INACTIVE**3M 9851 1.0 IN OVERLAPPED LINER (SUB),28
2378,WHT PE 30 IN MFOLD (9/6/6/9) DLS PLAS,42
2379,AHS I V TAPE CARD,14
2380,**INACTIVE**PSS 4X5 WOUND TARGET PET 16.625 IN PRTD,42
2381,3M 1538L 6 IN (SUB),14
2382,BUSSE FACE SHIELD 3732S-2,14
2383,PURACOL PLUS EP 2X2 SBS BOX,21
2384,"PURACOL PLUS EP 2X2 BOOKLET LABEL 2.875"" X 4.25""",42
2385,"PURACOL PLUS EP 4X4 BOOKLET LABEL 5.1875"" X 5""",42
2386,PURACOL PLUS EP 4X4 SBS BOX,21
2387,4 MIL FOG - 400 GAUGE 12.25 IN FILM,49
2388,HDS 13.25 IN PEO 55 MIL 90/10 HYDROGEL RED LINER #891001-C,56
2389,MACTAC FOAM TM6563 1 IN,21
2390,"PURACOL PLUS EP 2"" X 2.25"" MSC8622EP",14
002390-SHIP,"PURACOL PLUS EP 2"" X 2.25"" MSC8622EP",14
2391,"PURACOL PLUS EP 4.25"" X 4.5"" MSC8644EP",14
002391-SHIP,"PURACOL PLUS EP 4.25"" X 4.5"" MSC8644EP",14
2392,**INACTIVE**CCT ROLL REWORK,14
2393,CS DC TAPE 6.75 IN,35
2394,**INACTIVE**DC LINER 6.937 IN,21
2395,**INACTIVE**DERMA SCIENCE BULK NS GRID THIN FILM,14
2396,3M 9833 8.125 FILM X 8.50 CARRIER W/ .375 EL ONE SIDE,60
2397,"MPM Strl Spt Drsg  2.375""x2.75"" Overall 1"" x 1.25"" Pad MP00499",14
2398,PHARMCHEM PATCH OVERLAY,14
2399,PRECEPT MITSUBISHI SHIELD 10 02 004,49
2400,**INACTIVE**HEMCON OTC BANDAGE (1/BOX) RM7043,14
2401,**INACTIVE**HEMCON OTC BANDAGE (3/BOX) RM7062,14
2402,%%INACTIVE%%HEMCON OTC BANDAGE (3/BOX) RM7063,14
2403,7.9 OZ NLYB-E LYOCEL PAD 1.25 IN,35
2404,"**INACTIVE**CARDINAL 6"" X 6"" PATCH",14
2405,"**INACTIVE**MPM Isolate Hydrophilic Foam Dressing 6""x6"" MP00554",14
2406,LSL 1 x 4 TRANSPORE TAPE 30K min - 058,14
2407,**INACTIVE**HEMCON OTC SBS BOX (1/BOX) RM7043,21
2408,**INACTIVE**HEMCON OTC SBS BOX (3/BOX) RM7062,21
2409,HEMCON OTC SBS BOX (3/BOX) RM7063,21
2410,"**INACTIVE**HEMCON OTC BOX LABEL 1.014"" X .597""",21
2411,**INACTIVE**LSL 1/4 X 4 BULK WOUND CLOSURE,14
2412,1059B UNCTD TYVEK PURACOL 2X2 14.125 IN,49
2413,1059B UNCTD TYVEK PURACOL 4X4.25 12.0 IN,42
2414,**INACTIVE**PRESTIGE AMERITECH SHIELD,14
2415,**INACTIVE**MUELLER 1/8 X 6 X 10 LY FOAM RL,14
2416,**INACTIVE**KPK-103D POUCHING PET 7.25 IN,28
2417,ASO 2X2 HYDROGEL #40-2909,14
2418,**INACTIVE**ASO 4X4 HYDROGEL #40-2907,14
2419,**INACTIVE**ASO 4X4 BG FOAM #40-2908,14
2420,**PURGE**MPM 2 X 3 THIN FILM W/ PAD (SUB),14
2421,ASO 4X4 w/2x2 PAD BG FOAM #40-2908,14
2422,ASO 2X2 HYDROGEL #40-2909 (SUB),14
2423,**INACTIVE**ASO 4X4 HYDROGEL #40-2907 (SUB),14
2424,AMCOR PPG-30 PCKG PAPER 7.25 IN,42
2425,**INACTIVE**MPM SPOT DRESSING SBS BOX,21
2426,6X6 SILVER COMPOSITE DRSG 10/BX,14
2427,**INACTIVE**6X6 SILVER COMPOSTIE DRSG (SUB),7
2428,SNEF SILVER 1438 PADSTOCK 4 IN,0
2429,4X4 SILVER BORDER GAUZE DRSG 10/BX,14
2430,**INACTIVE**4X4 SILVER BORDER GAUZE DRSG (SUB),7
2431,SNEF SILVER 1438 PADSTOCK 2 IN,0
2432,4X4 SILVER COMPOSITE DRSG 10/BX,14
2433,**INACTIVE**4X4 SILVER COMPOSITE DRSG (SUB),7
2434,**INACTIVE**MAGNETIC THERAPY SPECIALIST 2X4.5 RECTANGLE,0
2435,6X6 SILVER BORDER GAUZE DRSG 10/BX,14
2436,**INACTIVE**6X6 SILVER BORDER GAUZE DRSG (SUB),7
2437,BOX 13 X 9 X 9 #S-11373,2
2438,**INACTIVE**CS MPM ISOLATE 6X6 FOAM LABEL,21
2439,**INACTIVE**FOAM 6.5 IN MEDISPONGE-30W 0.25T W/ FLESH POLY FILM,35
2440,**INACTIVE**3M 1538L 5.80 FILM X 6.0 CARRIER .20 EL ONE SIDE,35
2441,**PURGE**MPM REPEL 6X6 DRSG (SUB),14
2442,**PURGE**MPM 6X6 ISOLATE HYDROPHILIC FOAM (SUB),7
2443,"""PURGE"" MPM SPOT DRSG MP00499C PRTD PAPER 7.25 IN (SUB)",7
2444,**INACTIVE**MAGNETIC THERAPY NONWOVEN CIRCLE,42
2445,PRTD TYVEK 12.625 IN ASO BRD FM DRSG 4X4,42
2446,PURGE - 3M 9833 4.25 IN,45
2447,HEMCON TAMPER EVIDENT LABEL,21
2448,HEMCON SHIPPER LABEL 1 BANDAGE #230,21
2449,HEMCON SHIPPER LABEL 3 BANDAGES #231,21
2450,ASO 4X4 PRINTED FOIL 11.125,42
2451,**INACTIVE**ASO 2X2 PRINTED FOIL 12.00 IN,42
2452,**INACTIVE**ALCAN 105 HDPE FILM 12.00 IN,28
2453,HDS 891001-D 90/10 W/ BLUE LNR. 13.25 IN,42
2454,EASY RELEASE 78# C1S-0 LNR 4.0 IN,28
2455,EASY RELEASE 78# C1S-0 LNR 5.5 IN,28
2456,SBS BOX 6 X 1-1/2 X 7-5/8 UNPRINTED,21
2457,RELIAMED 4X4 HYG SHT DRSG  #ZDHG44,14
2458,LABEL RELIAMED 4 X 4 HGEL POUCH,14
2459,LABEL RELIAMED 4X4 SBS BOX,21
2460,**INACTIVE**LABEL RELIAMED 4X4 SHIPPER BOX,21
2461,RELIAMED 4X4 HYG SHT (SUB)  #ZDHG44,14
2462,**INACTIVE**3M 9832 6.0IN,35
2463,"""PURGE""3M 1224-6 EO INDICATOR TAPE 3/4"" X 60 LY",21
2464,**INACTIVE**3M 9832 10.0 IN,35
2465,RELIAMED HYDROGEL INSERT,21
2466,FOAM 2.5 IN MEDISPONGE 30W .250T,35
2467,**INACTIVE**FOAM 4.5 IN MEDISPONGE 30W .250T,35
2468,FOAM 13.25 IN MEDISPONGE 30W .250T UNTRIMMED,35
2480,**INACTIVE**INTL MEDSURG 1525L 120CM/48 IN,35
2481,**INACTIVE**MEDLINE DRSG 2X4.5 W /1.5X2 PAD (SUB),7
2482,"""PURGE"" FOAM 1.5 IN MEDISPONGE 30W 1/8"" THK",49
2483,**INACTIVE**MEDLINE DRSG 1X3.5 W / 1X1 PAD (SUB),7
2484,"""PURGE"" FOAM 1.0 IN MEDISPONGE 30W 1/8"" THK",35
2485,MEDLINE DRSG 1X3.5 W / 1X1 PAD MSC2413,14
002485-S,MEDLINE DRSG 1X3.5 W / 1X1 PAD MSC2413 SUB ASSEMBLY,14
2486,MEDLINE DRSG 2X4.5 W /1.5X2 PAD MSC2424,14
2487,"POUCH CHEVRON 4"" X 7"" TYVEK/PET",42
2488,**INACTIVE**THIN FILM 2.375x2.75  TAB DEL,7
2489,"""PURGE"" FOAM 1.25 IN MEDISPONGE 30W 1/8"" THK",49
2490,"SPENCO BLISTER KIT 1"" 308-1072",14
2491,**INACTIVE**SPENCO SKIN MOIST PADS 2X3 HYDROGEL 308-1056,14
2492,**INACTIVE**MEDLINE ARGLAES ALGINATE 4  MSC9145 (SUB),7
2493,SPENCO 3 X 1.5 TAN ADHESIVE KNIT (SUB) 308-1072,14
2494,SPENCO WHITE PE 3X5 FOAM W/OVALS KISS CUT (SUB),14
2495,MACTAC TM9478 2.4 OZ SONTARA FLESH 5.875 IN,28
2496,"MACTAC TM9946 1/16"" THK FOAM 6"" IN",21
2497,SPENCO BLISTER KIT CARTON 308-1072 - PURGE!!!,0
2498,**INACTIVE**SPENCO POUCH LABEL,21
2499,SPENCO SKIN MOIST 2X3 HYDROGEL (SUB),7
2500,CS SPENCO MOIST PAD 2X3 CARTON 308-1056,21
2501,**INACTIVE**SPENCO SKIN BLISTER PADS 308-1080,14
2502,DM2034 3.25 IN,49
2503,**INACTIVE**SPENCO SKIN BLISTER PADS 1.5 IN X2.36 IN (SUB),7
2504,SPENCO INSERT FOR SKIN BLISTER PAD - MUST PURGE CUR INVENTORY!!!,21
2505,CS SPENCO BLISTER PAD CARTON #308-1080,14
2506,"""PURGE"" PRTD POUCH TYVEK 9.0 IN FM DRSG 2X2",49
2507,MEDLINE ARGLAES POSTOP 3.25 X 14 MSC9314,14
2508,**INACTIVE**MEDLINE ARGLAES ANTIMICR 4.75 X 10 MSC9069,14
2509,BOX 12 X 12 X 5 #S-4489,2
2510,**INACTIVE**MEDLINE ARGLAES POSTOP 3.25 X 14 MSC9314 (SUB),7
2511,AVERY MED 9560S 3.661 IN (93mm),84
2512,PAPER # 1- .875 (SUB),21
2513,**PURGE**PAPER # 2- .875 (SUB),21
2514,**INACTIVE**AVERY MED 9560S 5.157 IN (131mm),84
2515,"SEMI-GLOSS LABEL STOCK 3.5"" PERMANENT PSA",3
2516,**PURGE**PRTD INSERT MEDLINE ARGLAES POST-OP STYLE,21
2517,**PURGE**SBS BOX MEDLINE ARGLAES MSC9314,21
2518,LCP-455 FOIL/PET ARGLAES PRTD 15.812 IN,70
2519,LCP-464 FOIL/PET UNPRTD 15.812 IN,70
2520,**INACTIVE**MEDLINE ARGLAES ANTIMICR 4.75 X 10 MSC9069 (SUB),14
2521,LCP-464 FOIL/PET ARGLAES PRTD 12.25 IN,42
2522,LCP-464 FOIL/PET UNPRTD 12.25 IN,70
2523,MEDL ARGLAES ANTIMICR 2 3/8X3 1/4 MSC9023,14
2524,MEDLINE ARGLAES ANTIMICR 4 X 4.75 MSC9045,14
2525,**INACTIVE**SPENCO QUICKSTIK PHARM COMBO 1122,0
2526,"POUCH MPM 6X6 ISOLATE FOAM 8"" X 10""",42
2527,**INACTIVE**ARGLAES ANTIMICR 2 3/8X3 1/8 MSC9023 (SUB),7
2528,PAPER 1.5 IN (SUB),21
2529,PRTD INSERT MEDLINE ARGLAES,21
2530,**INACTIVE**SBS BOX MEDLINE ARGLAES MSC9023,21
2531,**PURGE**LCP-464 FOIL/POLY ARGLAES PRTD 5.8120 IN,70
2532,LCP-464 FOIL/POLY UNPRTD 5.8120 IN,70
2533,**INACTIVE**MEDL ARGLAES ANTIMICR 4 X 4.75 MSC9045 (SUB),7
2534,LCP-464 FOIL/POLY  ARGLAES PRTD 7.3750 IN,70
2535,LCP-464 FOIL/POLY UNPRTD 7.3750 IN,70
2536,**INACTIVE**SBS BOX MEDLINE ARGLAES MSC9045,21
2537,MEDEGEN HANDISTRIPS,14
2538,AMS ALGINATE 2.0 IN NWF1-2CP 5cm,60
2539,**INACTIVE**STERIMED 4 X 4 TAPE PAD,14
2540,**INACTIVE**TATUDERM 6 X 8 SHEETS,14
2541,**INACTIVE**MEDEFFICIENCY 4 X 4 FOAM DRSG  MEDE-0044-Al,14
2542,TELEFLEX ADHESIVE DISC #84215,35
2543,SPENCO ADHESIVE KNIT 3X5 (SUB),7
2544,SPENCO ADHESIVE KNIT 3X5 INTERNATIONAL 308-1635,14
2545,"**INACTIVE**3M 1527 PLASTIC TAPE 9.75""",0
2546,**INACIVE**MEDEFFICIENCY 4 X 4 FOAM DRSG (SUB),7
2547,LABEL MEDEFFICIENCY 4X4 POUCH LABEL,21
2548,TYVEK CHEVRON  POUCH 6.25 X 7.5,42
2549,TATUDERM 6 X 8 SHEETS (SUB),14
2550,CS TATUDERM LABEL 6X8,21
2551,**INACTIVE**ADH KNIT TM9478,35
2552,"MEDI STRIP SCHEIN 1/2 X 4, 200PK/CS HS900-4314",14
2553,"MEDI STRIP SCHEIN 1/4 X 3, 200PK/CS HS900-4315",14
2554,"MEDI STRIP SCHEIN 1/4 X 1.5, 200PK/CS HS900-4316",14
2555,"MEDI STRIP SCHEIN 1/8 X 3, 200PK/CS HS900-4317",14
2556,"MEDI STRIP SCHEIN 1/4 X 4, 200PK/CS HS900-4318",14
