Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,ItemCode,ItemDescription,Price,Cost,GP,Gp%,,,,,
,,609,MEDISTRIP 1/4 IN X 3 IN BULK,119,69.35013,49.64987000000001,0.41722579831932777,,,,,
,,610,MEDISTRIP 1 IN X 4 IN BULK,196.5,122.64129,73.85871,0.37587129770992367,,,,,
,,658,BRAZABRA HEART TOPS 12056 BEIGE,0.0492,0.028451,0.020749,0.4217276422764228,,,,,
,,661,"MPM WoundGard 6""x6"" Pad MP00098",0.52,0.505176,0.01482400000000006,0.02850769230769242,,,,,
,,696,ANS WINDOW MASKING TAPE SMALL,1.92,0.022743,1.897257,0.9881546875,,,,,
,,701,SWISS SONTARA 2 IN X 10 YD,3.677,1.550462,2.126538,0.5783350557519717,,,,,
,,718,**INACTIVE**LONG LIFE SERV DIET PATCH,0.172,0.000385,0.171615,0.9977616279069768,,,,,
,,741,DOLPHIN MEDICAL PEDIATRIC FLEXISENSOR 55-00363,21.6,4.970648,16.629352,0.7698774074074074,,,,,
,,819,**INACTIVE**HYDRO-MED TEAR HERE LBL W/ADH,0.01,0,0.01,1,,,,,
,,833,BUSSE ADH PATCH 2.5 X 2.375  6843D-1,0.0756,0.10362,-0.028020000000000003,-0.37063492063492065,,,,,
,,835,HYDROMED POLY TIE 1 X 30 W/ADH TAB,0.075,0.031401,0.043599,0.5813200000000001,,,,,
,,874,HEMCON 3.625X3.625 FOAM DRG RM7006 - REV 4,0.25,0.137506,0.11249400000000001,0.44997600000000004,,,,,
,,879,BUSSE 1/2 IN X 4 IN WC STRIPS 4383C,0.23,0.147011,0.08298900000000001,0.3608217391304348,,,,,
,,931,MPM 6 X 8 (4.25 X 6 PAD) WOUNDGUARD NON-STERILE MP00099,0.56,1.461292,-0.901292,-1.6094499999999998,,,,,
,,936,MUELLER PRTD ABR STRIPS 2 X 5 BULK MAN124,0.053,0.080368,-0.027367999999999996,-0.516377358490566,,,,,
,,939,MUELLER PRTD ABR RL 4 IN X 10 LY MAN127A,9.03,6.981315,2.048684999999999,0.22687541528239194,,,,,
,,960,ADROIT 1.5 IN X 38 IN TAPE,0.33,0.286215,0.04378500000000002,0.13268181818181823,,,,,
,,978,"MPM CoolMagic Gel Sheet 3.75"" x 3.75"" MP00206",1.31,1.304715,0.005284999999999984,0.004034351145038155,,,,,
,,979,CARDINAL CIRCULAR PORT REINFORCEMENT 14811,0.062,0.046219,0.015780999999999996,0.25453225806451607,,,,,
,,992,**INACTIVE**DERMA SCIENCE AQUASITE 6X8 HYG SHT DRSG,2.43,0.329071,2.1009290000000003,0.8645798353909465,,,,,
,,993,BUSSE ADH PATCH 5.0 X 5.25  6841C-1,0.2095,0.175339,0.034161,0.16305966587112172,,,,,
,,1029,**INACTIVE**S&N 4X4 COVRSITE DRSG 10/BX 59714000,2.2,2.856691,-0.6566909999999999,-0.298495909090909,,,,,
,,1040,MPM Foam Dressing Bordered 4x4 Overall 2x2 Pad MP00500CN,0.4995,0.442894,0.05660599999999999,0.1133253253253253,,,,,
,,1041,"MPM Foam Dressing Bordered 6x6 Overall, 4x4 Pad MP00502CN",1.04,0.955155,0.08484500000000006,0.08158173076923082,,,,,
,,1042,MPM Foam Dressing Non-Bordered 2x2 Pad MP00510,0.39,0.336797,0.053203,0.1364179487179487,,,,,
