Unnamed: 0,Unnamed: 1,WHITEBOARD TARGETS vs ACTUALS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,MFG REVENUE TARGETS vs ACTUALS by Equipment# and Part #,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,SHIPMENT Rev & Profit TARGET,Unnamed: 25,Unnamed: 26,Unnamed: 27,SHIPMENT REVENUE TARGETS vs ACTUALS by Part # and Lot #,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,"QUALITY PRODUCT RELEASES (PRE-STERILE, NON Sterile, STERILE)",Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
,2026-03-11 00:00:00,Plan Revenue,,11928,3529.8,,0,0,140,0,0,,,Delta 4,7235,53866,Non-Sterile,127727.99999999999,55348.80000000001,26913.839999999997,11662.663999999999,HARMAC PRTD DRAPE ASSEMBLY P3113231 REV.A  (ROW),,Week,Target Revenue,Packaged Act Revenue,,,,,,,,,,,,,,,,,
,,Act Revenue,,0,0,,,,,,,,,,4978,53764,Non-Sterile,29838.6,8476.875,-49.103999999999644,-13.9499999999999,EMED SOFT-SITE TEGADERM DRESSING 112X51MM  MS-0010201,,16,0,0,,,,,,,,,,,,,,,,,
,2026-03-12 00:00:00,Plan Revenue,104483.99999999999,11928,13212,,0,0,140,0,0,,,,4804,54435,Non-Sterile,68378,68377.99999999999,34322.659999999996,34322.659999999996,"KCI PEEL AND PLACE PREVENA LONG 416697, Rev. B",,17,0,0,,,,,,,,,,,,,,,,,
,,Act Revenue,0,0,1020,,,,,,,,,Delta Pkg,5045,53227,Pre-Sterile ,44825,19397,15730.412499999999,6806.978499999999,FREUDENBERG 30cm X 47cm Nonwoven Sheets 122P0463,,18,0,0,,,,,,,,,,,,,,,,,
,2026-03-13 00:00:00,Plan Revenue,,11928,24024,,0,0,140,1258,0,,,,,53517,Pre-Sterile ,41076,0,14414.777999999998,0,,,19,0,0,,,,,,,,,,,,,,,,,
,,Act Revenue,,0,4760,,,,,,,,,,6039,53933,Pre-Sterile ,16480,14584.800000000001,9704.9336,8588.866236000002,MEDLINE SURESITE 4 X 4.75 MSC2304,,21,0,0,,,,,,,,,,,,,,,,,
,2026-03-14 00:00:00,Plan Revenue,,,0,,0,0,140,1294,0,,,Do Boy,3424,54078,Pre-Sterile ,69300,53487,13475.253,10400.44527,"MPM Cool Magic Gel Sheet 6.0""x8.0"" OL MP00208",,29,0,0,,,,,,,,,,,,,,,,,
,,Act Revenue,,,0,,,,,,,,,H Pack 1,1673,54393,Non-Sterile,0,0,0,0,BI OVERLAY #1 - ITALY,,34,0,0,,,,,,,,,,,,,,,,,
,2026-03-16 00:00:00,Plan Revenue,69300,29232,21984,,,,,,,,,,1674,54394,Non-Sterile,0,0,0,0,BI OVERLAY #2 - ITALY,,35,0,0,,,,,,,,,,,,,,,,,
,,Act Revenue,0,0,0,,,,,,,,,H Pack 3,5005,54173,Pre-Sterile ,42556.8,15862.08,16785.791880000004,6256.522428,IMPLUS SKIN BLISTER PADS 4742300,,36,0,0,,,,,,,,,,,,,,,,,
,2026-03-17 00:00:00,Plan Revenue,,18932,16884,,,,,,,,,Hudson 1,3777,54640,Non-Sterile,0,0,0,0,,,Grand Total,0,0,,,,,,,,,,,,,,,,,
,,Act Revenue,,0,0,,,,,,,,,Impulse Sealer 1,4152,54388,Pre-Sterile ,104484.00000000003,106225.4,18490.64519999999,18798.822619999988,"McKESSON 61-82044 DRESSING, HYDROGEL SHEET STR LF 4X4",,,,,,,,,,,,,,,,,,,,,
