ItemCode,(All),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,ScheduledShipDate,(All).1,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,9065728.639999999,
Department,Total,,,,,,,,,,,,Data,
Filling OP,3051959.9400000004,,,,,,,,,,ItemCode,ItemDescription,Site Total Sales Revenue,Sum of Profit
,,,,,,,,,,,6039,MEDLINE SURESITE 4 X 4.75 MSC2304,44410.6,21305.308370000006
,,,,,,,,,,,7155,URGO - VASHE 250 ml Instill 00316,43382.64,29143.008131999995
,,,,,,,,,,,6320,EUROFINS  OCCLUSIVE TEST STRIP,42000,18413.289999999997
,,,,,,,,,,,5660,MPM Antiseptic Wound & Skin Cleanser 8 fl.oz. MP00032,41758.2,15439.676868000006
,,,,,,,,,,,3917,KOB MEDICAL WC STRIPS 1/2 X 4 BULK NS 3/CD 46070945,38500,16056.111660000002
,,,,,,,,,,,7560,ioTech ioRinse Ultra 1 liter,38250,30483.1125
,,,,,,,,,,,2977,MEDLINE DRSG SURESITE 4.75 X 4 FRAME/LABL (MSC52281),36720,9242.340084
,,,,,,,,,,,5979,"MEDLINE SUREFILM 4"" X 11 YARDS MSC2404",32121.6,15156.725280000002
,,,,,,,,,,,7903,"NAWA ""Spritz"" cleanser",30000,1006.8599999999994
,,,,,,,,,,,3069,ARGENTUM 4 X 4 PRTD ISLAND DRSG NS; BULK,28350,23017.505000000005
,,,,,,,,,,,6319,EUROFINS SEMI-OCCLUSIVE STRIP,28050,11118.255000000003
,,,,,,,,,,,6012,MEDLINE CURAD MEDISTRIP 1/4 X 3 IN STERILE NON250314,26440.920000000002,18846.976499999997
,,,,,,,,,,,7905,Iotech MR-HA- US 1L,25500,3520.155
,,,,,,,,,,,7558,ioTech ioRinse AC 1 liter,25500,19670.864999999998
,,,,,,,,,,,7559,ioTech ioRinse AC 16oz,23550,17667.930000000004
,,,,,,,,,,,7906,Iotech STR-HA 16oz,23550,8342.355
,,,,,,,,,,,7561,ioTech ioRinse Ultra 16 oz,23550,18308.985
,,,,,,,,,,,5668,MPM Regenecare HA Gel 3oz. MP00107,23400,7417.689999999999
,,,,,,,,,,,609,MEDISTRIP 1/4 IN X 3 IN BULK,23324,9731.374520000001
,,,,,,,,,,,7833,O&M Basic Zinc Paste 4oz,22800,22800
,,,,,,,,,,,3693,ARGENTUM 3x4 PRTD ISLAND DRSG BULK,21700,14746.97
,,,,,,,,,,,610,MEDISTRIP 1 IN X 4 IN BULK,21222,7976.740680000002
,,,,,,,,,,,7832,SkinCentry Premium Silicone Cream 2oz,21000,3294.4349999999977
,,,,,,,,,,,5116,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,20865.18,7255.406403000003
,,,,,,,,,,,7981,"4"" x 5"" Therabond 3D Island Dressing 3DAI-45",20002.5,20002.5
,,,,,,,,,,,5859,"MPM MP00990 DRY VEIL CONTACT LAYER 36""X36"" (48ea/CS)",20000,8474.79
,,,,,,,,,,,5670,MPM Regenecare HA Spray 4 fl.oz. MP00117,17912.7,6002.285499999998
,,,,,,,,,,,7862,ViaCLYR Flip Top 16oz,17500,11076.470000000001
,,,,,,,,,,,7991,Bloomi Delight 3oz,17250,17250
,,,,,,,,,,,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,17028,3303.335519999999
,,,,,,,,,,,4191,"ARGENTUM 4 X 8 PRTD ISLAND DRESSING, NS, ID-48",17000,8115.725
,,,,,,,,,,,7993,200 RC Filter,16750,16750
,,,,,,,,,,,7997,Turn Therapeutics Hexagen Bulk - 55 Gallon Drum,15280,15280
,,,,,,,,,,,7795,PERIO AO ProRinse HYDRATING 10 oz,15000,5804.820000000001
,,,,,,,,,,,7811,PERIO AO ProRinse WHITE CARE 10 oz,13912.5,13912.5
,,,,,,,,,,,7769,PERIOSCIENCES AO ProRinse SENSITIVE 10 oz,13702.5,6865.724249999999
,,,,,,,,,,,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,13585,3295.049159999998
,,,,,,,,,,,7861,ViaCLYR Flip Top 8oz,13500,9291.675000000001
,,,,,,,,,,,4785,"MEDLINE 119883 10""x16"" Instrument Drape",12960,9027.806724
,,,,,,,,,,,7803,PERIO AO ProRinse NATURAL 10 oz,12700,-566.0299999999996
,,,,,,,,,,,6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",11366.520000000002,5724.264002000003
,,,,,,,,,,,7978,"4"" x 12"" Therabond 3D Island Dressing 3DAI-412",11169.9,8051.4
,,,,,,,,,,,3843,DeRoyal Episeal Tan 3 Inch Non-Reinforced Material,11088,7710.752
,,,,,,,,,,,7898,"MPM DryMax/DrySAP Extra Super Absorbent Drsg, Sterile, 8X8;",9900,9900
,,,,,,,,,,,6007,ARGENTUM SILVERLON DRESSING 4.5X12  ID-512,9880,5743.512000000001
,,,,,,,,,,,7159,URGO - VASHE 250 ml OTC Flip Top 00405,9757.8,4113.418103999999
,,,,,,,,,,,5666,MPM RadiaPlex Rx Gel 6oz. MP00106,9364.4,3877.9602039999995
,,,,,,,,,,,F-22007                 ,"ADVANCED 2"" × 200' ROLL SEMI-OCCLUSIVE",8599.2,5045.37148
,,,,,,,,,,,5520,D* Tetrapotassium Pyrophosphate CAS#7320-34-5 1614086,8331.11,
,,,,,,,,,,,7976,"4"" x 8"" Therabond 3D Island Dressing 3DAI-48",8050,8050
,,,,,,,,,,,6929,NEXGEL SILVER SEAL 2X3 HYDROGEL DRESSING,8029.88,5549.346694
,,,,,,,,,,,7975,"4"" x 6"" Therabond 3D Island Dressing 3DAI-46",8005.8,8005.8
,,,,,,,,,,,5440,MPM Regenecare HA Gel 0.5oz. MP00112,7700,4408.87
,,,,,,,,,,,7863,ViaCLYR Flip Top 32oz,7520,5463.174
,,,,,,,,,,,6328,CARBOX WAX SENTRY POLYETHYLENE GLYCOL 600 NF CAS#25322-68-3,6977.1,
,,,,,,,,,,,7982,"2"" x 2"" Therabond 3D Island Dressing 3DAI-410",1680,1680.0000000000002
,,,,,,,,,,,,"2"" x 2"" Therabond 3D Island Dressing 3DAI-22",5040,5040.000000000001
,,,,,,,,,,,F-22004                 ,5 SITE SEMI-OCCLUSIVE STRIP,6560,2378.112
,,,,,,,,,,,5671,MPM OraMagic Rx 12oz MP00213,6408,2833.7004
,,,,,,,,,,,7992,Port Drape,6250,5600.000000000001
,,,,,,,,,,,3853,MEDISTRIP 1 IN X 4 IN BULK NON-STERILE,5895,1875.2854499999999
,,,,,,,,,,,7980,"4"" x 10"" Therabond 3D Island Dressing 3DAI-410",5400,5400
,,,,,,,,,,,6930,NEXGEL TURF GUARD 2X3 HYDROGEL DRESSING,5234.95,3599.398132
,,,,,,,,,,,3851,MEDISTRIP 1/4 IN X 4 IN BULK NON-STERILE 5/CD,5070,-150.83244799999966
,,,,,,,,,,,6323,MINERALIZ GU/Zn CAS# 4468-02-4 KOSHER,4961.39,
,,,,,,,,,,,5662,"MPM Regenecare Wound Gel 0.5 oz, MP00101",4900,1159.3049999999998
,,,,,,,,,,,5674,MPM OraMagic Plus 8oz MP00224,4900,1261.3700000000003
,,,,,,,,,,,F-22008                 ,"ADVANCED 2"" × 200' ROLL OCCLUSIVE",4134.4,1782.17168
,,,,,,,,,,,5521,D* Tetrasodium Pyrophosphate CAS#7722-88-5 KOSHER,3825.84,
,,,,,,,,,,,7987,"4"" x 10"" Therabond 3D Island Dressing 3DAIXS-410",2700,2700
,,,,,,,,,,,N-4008                  ,Expedite Fee for 15ml Bottles,2556.79,
,,,,,,,,,,,5515,D* Dentsil DS 60 HYDRATED SILICA - CAS#112926-00-8 KOSHER,2414.7,
,,,,,,,,,,,7979,"4"" x 14"" Therabond 3D Island Dressing 3DAIXS-412",2200,2200
,,,,,,,,,,,7217,DERMACLIP EXT 3 CLIP PAD NS -31005,2039.73,125.9112
,,,,,,,,,,,7794,PERIOSCIENCES AO ProRinse SENSITIVE 32 oz,2025,850.9122000000001
,,,,,,,,,,,3849,MEDISTRIP 1/4 IN X 1.5 IN BULK NON-STERILE,1980,48.101999999999975
,,,,,,,,,,,5590,"BAG, AP2390.11 Arena ""Air-Evac"" Vertex, 3Ply Liquid Liner Bag",1863.13,
,,,,,,,,,,,5703,D* Glycerin 99.7% CAS# 56-81-5  KOSHER,1661.22,-310.0944000000001
,,,,,,,,,,,N-4009                  ,Artwork Prep/Plate Fee(s),1450,
,,,,,,,,,,,3852,MEDISTRIP 1/4 IN X 3 IN BULK NON-STERILE,1428,607.602
,,,,,,,,,,,7812,PERIO AO ProRinse WHITE CARE 32 oz,1390,1390
,,,,,,,,,,,5639,"D* Sorbitol Crystalline Powder NF, CAS# 50-70-4 KOSHER",1215.81,
,,,,,,,,,,,5525,D* AmmoniumGlycyrrhizate Magnasweet 110-2X CAS#53956-04-0 KOSHER,1033.12,
,,,,,,,,,,,8012,Bloomi Delight 3oz (1K Use Only),1000,999.26485
,,,,,,,,,,,606,MEDISTRIP 1/8 IN X 3 IN BULK,969,299.4573250000001
,,,,,,,,,,,5518,"D* Mint Flavor WONF OS, Natural 113.19228 CAS# 68917-18-0 KOSHER",963.58,
,,,,,,,,,,,5713,Polysorbate 20 CAS# 9005-64-5,919.01,
,,,,,,,,,,,6330,MENTHOL CAS#2216-51-5   KOSHER,867.7,
,,,,,,,,,,,7224,GREEN TEA PHYTOBASIC IN PG (3345L) KOSHER,853.65,-28.88962499999998
,,,,,,,,,,,5517,D* Cooling Type Flavor Natural 113.90468 KOSHER,790.04,
