Unnamed: 0,Unnamed: 1,WHITEBOARD TARGETS vs ACTUALS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,MFG REVENUE TARGETS vs ACTUALS by Equipment# and Part #,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Monthly Total Mfg Rev & Profit TARGET,Unnamed: 19,Unnamed: 20,Unnamed: 21,SHIPMENT REVENUE TARGETS vs ACTUALS by Part # and Lot #,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,2026-02-16 00:00:00,Plan Revenue,71120.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,69860.16,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-02-17 00:00:00,Plan Revenue,71120.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-02-18 00:00:00,Plan Revenue,18600.32,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-02-19 00:00:00,Plan Revenue,1540.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-02-20 00:00:00,Plan Revenue,35194.64,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,12430.56,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-02-21 00:00:00,Plan Revenue,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-02-22 00:00:00,Plan Revenue,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-02-23 00:00:00,Plan Revenue,48880.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,22469.76,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-02-24 00:00:00,Plan Revenue,57080.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,28876.8,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-02-25 00:00:00,Plan Revenue,48880.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,31741.92,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-02-26 00:00:00,Plan Revenue,70552.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-02-27 00:00:00,Plan Revenue,70552.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Plan Revenue,,1014261.1599999999,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Act Revenue,,436609.3900000001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
