Unnamed: 0,Unnamed: 1,WHITEBOARD TARGETS vs ACTUALS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,MFG REVENUE TARGETS vs ACTUALS by Equipment# and Part #,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Monthly Total Mfg Rev & Profit TARGET,Unnamed: 19,Unnamed: 20,Unnamed: 21,SHIPMENT REVENUE TARGETS vs ACTUALS by Part # and Lot #,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,Mfg Target,1079528.8,-332355.89340000006,,,,,Date,(Multiple Items),,,,,,,,Date,(Multiple Items),,,,,,,,,
,,Mfg Actual,747172.9066,,,,,,Mfg or Quality Release,Non Sterile,Difference,-332355.89340000006,,,,,,Mfg or Quality Release,Non Sterile,,,,,,,,,
,,,Act Revenue,17645.8,,,,,Vashe Machine,,,0,0,0,0,,,,,,,7801,54376,2745,0,2287.4058,0,PERIO AO ProRinse HYDRATING 32 oz
,,2026-01-09 00:00:00,Plan Revenue,15582.0,,,,,"K1 Kettle - 1,892,000 grams (big)",5821,54055,0,0,0,0,,,,,,,7832,53897,21000,0,6539.999999999999,0,SkinCentry Premium Silicone Cream 2oz
,,,Act Revenue,39169.799999999996,,,,,,7755,53350,0,0,0,0,,,,,,,7861,54062,12320,0,5066.852,0,ViaCLYR Flip Top 8oz
,,2026-01-10 00:00:00,Plan Revenue,0.0,,,,,,7827,54524,0,0,0,0,,,,,,,7862,54063,5375,0,3769.1175,0,ViaCLYR Flip Top 16oz
,,,Act Revenue,0.0,,,,,K2 Kettle - 45 gallon (small),5768,54420,0,0,0,0,,,,,,,7863,54064,6550,0,4493.174,0,ViaCLYR Flip Top 32oz
,,2026-01-11 00:00:00,Plan Revenue,0.0,,,,,,,54421,0,0,0,0,,,,,,,Grand Total,,670866.98,0,312672.3128239999,0,
,,,Act Revenue,0.0,,,,,,,54422,0,0,0,0,,,,,,,,,,,,,
,,2026-01-12 00:00:00,Plan Revenue,55480.0,,,,,,,54423,0,0,0,0,,,,,,,,,,,,,
,,,Act Revenue,46550.88,,,,,,,54424,0,0,0,0,,,,,,,,,,,,,
,,2026-01-13 00:00:00,Plan Revenue,55480.0,,,,,,5821,54056,0,0,0,0,,,,,,,,,,,,,
,,,Act Revenue,48676.96,,,,,,,54057,0,0,0,0,,,,,,,,,,,,,
,,2026-01-14 00:00:00,Plan Revenue,55480.0,,,,,,5810,54237,0,0,0,0,,,,,,,,,,,,,
,,,Act Revenue,44909.12,,,,,,5809,54383,0,0,0,0,,,,,,,,,,,,,
,,2026-01-15 00:00:00,Plan Revenue,61828.0,,,,,"T2 Tank - 2,000 gallon (7,568,000 grams)",6379,54358,0,0,0,0,,,,,,,,,,,,,
,,,Act Revenue,27139.359999999997,,,,,,,54359,0,0,0,0,,,,,,,,,,,,,
,,2026-01-16 00:00:00,Plan Revenue,57013.44,,,,,,,54360,0,0,0,0,,,,,,,,,,,,,
,,,Act Revenue,21421.2,,,,,,,54361,0,0,0,0,,,,,,,,,,,,,
,,2026-01-17 00:00:00,Plan Revenue,0.0,,,,,,,54362,0,0,0,0,,,,,,,,,,,,,
,,,Act Revenue,0.0,,,,,,7577,53904,0,0,0,0,,,,,,,,,,,,,
,,2026-01-18 00:00:00,Plan Revenue,0.0,,,,,,,53905,0,0,0,0,,,,,,,,,,,,,
,,,Act Revenue,0.0,,,,,,,53906,0,0,0,0,,,,,,,,,,,,,
,,2026-01-19 00:00:00,Plan Revenue,21178.0,,,,,H Pack ,7310,54366,17982,7830,12692.518776,5526.772440000001,NEXT SCIENCE BRANDED 1.0oz BLASTX,,,,,,,,,,,,
,,,Act Revenue,64067.159999999996,,,,,Bottle Line-URGO - VASHE,7159,54380,9734.4,9828,3934.1752319999996,3972.0038399999994,URGO - VASHE 250 ml OTC Flip Top 00405,,,,,,,,,,,,
,,2026-01-20 00:00:00,Plan Revenue,49364.4,,,,,,7153,54378,225577.44,205814.87999999998,88931.50596,81140.32691999999,URGO - VASHE 250 ml Flip Top 00313,,,,,,,,,,,,
,,,Act Revenue,34187.52,,,,,,,54415,0,0,0,0,,,,,,,,,,,,,
,,2026-01-21 00:00:00,Plan Revenue,47586.0,,,,,,7154,54138,129510.36,33255.6,60102.85784399999,15433.179239999998,URGO - VASHE 475 ml Flip Top 00314,,,,,,,,,,,,
,,,Act Revenue,43325.52,,,,,,,54381,129479.28,129510.36,60088.43431199999,60102.85784399999,,,,,,,,,,,,,
,,2026-01-22 00:00:00,Plan Revenue,39886.0,,,,,,7152,54414,213736.32,202821.38999999998,88357.09478399999,83844.93931799999,URGO - VASHE 118 ml Flip Top 00312,,,,,,,,,,,,
,,,Act Revenue,29146.64,,,,,Grand Total,,,1079528.8,747172.9066,434292.94950799993,309658.618409,,,,,,,,,,,,,
,,2026-01-23 00:00:00,Plan Revenue,55598.719999999994,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,44578.64659999999,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-24 00:00:00,Plan Revenue,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-25 00:00:00,Plan Revenue,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-26 00:00:00,Plan Revenue,96765.51999999999,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,54425.3575,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-27 00:00:00,Plan Revenue,81185.52,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,61541.8825,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-28 00:00:00,Plan Revenue,81185.52,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,24747.12,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-29 00:00:00,Plan Revenue,92021.52,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,65622.95999999999,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-30 00:00:00,Plan Revenue,42853.799999999996,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,23228.64,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-31 00:00:00,Plan Revenue,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Plan Revenue,,1079528.8,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Act Revenue,,747172.9066,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
