PONumber,EntryDate,VendorCode,VendorName,ItemCode,ItemDescription,OrderQuantity,UOM,OriginalOrderQuantity,QtyRecv,DueDate,ReceivedDate,Comments
52092,2026-02-06,IOTECH    ,Iotech International,007601                  ,D* CS 16oz Bottle Hanger ioRinse,15000,EA  ,15000,0,2026-03-06,01/01/1900,
52092,2026-02-06,IOTECH    ,Iotech International,007605                  ,D* CS 16oz Bottle Label Front ioRinse Ultra,13720,EA  ,13720,0,2026-03-06,01/01/1900,
52092,2026-02-06,IOTECH    ,Iotech International,007608                  ,CS Xylitol CAS# 87-99-0,838297,GM  ,838297,0,2026-03-06,01/01/1900,
52092,2026-02-06,IOTECH    ,Iotech International,007610                  ,CS Glycerin CAS# 56-81-5,1867551,GM  ,1867551,0,2026-03-06,01/01/1900,
52092,2026-02-06,IOTECH    ,Iotech International,007611                  ,CS 1 Liter Jigger Caps ioRinse,21142,EA  ,21142,0,2026-03-06,01/01/1900,
52092,2026-02-06,IOTECH    ,Iotech International,007612                  ,CS 16oz Jigger Cap ioRinse,13481,EA  ,13481,0,2026-03-06,01/01/1900,
52092,2026-02-06,IOTECH    ,Iotech International,007924                  ,Iotech STR  HA 16oz back Label,16225,EA  ,16225,0,2026-03-06,01/01/1900,
52092,2026-02-06,IOTECH    ,Iotech International,007597                  ,D* CS 1 liter Bottle Label Front ioRinse Ultra,19697,EA  ,19697,0,2026-03-06,01/01/1900,
52092,2026-02-06,IOTECH    ,Iotech International,007607                  ,CS Sorbitol 70% CAS# 50-70-4,2574187,GM  ,2574187,0,2026-03-06,01/01/1900,
52092,2026-02-06,IOTECH    ,Iotech International,007615                  ,D* CS 1 liter Bottle Label Back ioRinse Ultra,20785,EA  ,20785,0,2026-03-06,01/01/1900,
52092,2026-02-06,IOTECH    ,Iotech International,007616                  ,D* CS 16oz Bottle Label Back ioRinse Ultra,13100,EA  ,13100,0,2026-03-06,01/01/1900,
52092,2026-02-06,IOTECH    ,Iotech International,007910                  ,CS Hyaluronic Acid (Sodium Hyaluronate),50000,GM  ,50000,0,2026-03-06,01/01/1900,
52103,2026-02-06,Centian   ,"Centian, LLC",005732                  ,Xylitol CAS# 87-99-0   KOSHER,400000,GM  ,400000,0,2026-03-06,01/01/1900,
52104,2026-02-06,Centian   ,"Centian, LLC",007747                  ,Trans-Ferulic Acid CAS# 1135-24-6,25000,GM  ,25000,0,2026-03-06,01/01/1900,
52107,2026-02-06,BERJE     ,"Berje, Inc",005528                  ,Mentha Viridis (Spearmint) Leaf Oil CAS# 8008-79-5 KOSHER,1000,GM  ,1000,0,2026-03-06,01/01/1900,
52109,2026-02-06,ESSENTIAL ,ESSENTIAL INGREDIENTS,007818                  ,PAM Extract Citrus Grandis CAS# 90045-43-5,8000,GM  ,8000,0,2026-03-06,01/01/1900,
52114,2026-02-09,TERRY LABS,TERRY LABORATORIES,005679                  ,Aloe Vera Whole Leaf Gel 1X (WLG001) CAS# 8001-97-6,38000,GM  ,38000,0,2026-03-06,01/01/1900,
52206,2026-02-18,PEACHTREE ,Peachtree Kay,007949                  ,BlastX IFU NMS-40001 Rev P,47820,EA  ,47820,0,2026-03-06,01/01/1900,
52206,2026-02-18,PEACHTREE ,Peachtree Kay,007950                  ,BlastX Wound Gel Unit Box 30mL-1oz NMS-30001 Rev U,47310,EA  ,47310,0,2026-03-06,01/01/1900,
52239,2026-02-23,UNIVAR    ,Univar USA,007230                  ,PEG 3350 CARBOWAX SENTRY WITH INHIBITOR,225000,GM  ,225000,0,2026-03-06,01/01/1900,
52242,2026-02-23,NORMAN FOX,"Norman, Fox & Co.",006325                  ,"SODIUM CITRATE DIHYDRATE, CAS# 6132-04-3",25000,GM  ,25000,0,2026-03-06,01/01/1900,
