,,,Sterile / Non-Sterile,,,,,,,Line/Machine,Part #,Lot #,Sterile / Non-Sterile,Plan Revenue,Act Revenue,Planned Profit $,Actual Profit $,Description,,No ,0,0,,Part #,Lot Numbers,Planned Ship Revenue,Actual Ship Revenue,Planned Profit $,Actual Profit $,,Description,,Line/Machine,Part #,Lot #,Sterile / Non-Sterile,Plan Revenue,Act Revenue,Description
,2026-02-09 00:00:00,Plan Revenue,12915,37772.6,17030.4,,,,,Delta 2,7488,54636,Pre-Sterile ,31524,29479.200000000004,10659.85318,9968.403244000001,"CARDINAL HEALTH TELFA NON-ADHERENT DRESSING 3""x4"" 2132",,,,,,,53517,0,0,0,0,,,,,4582,54675,Non-Sterile,0,0,
,,Act Revenue,0,9664.769999999999,6386.4,,,,,,7486,54637,Pre-Sterile ,132228.72,130673.08799999999,73098.57387000001,72238.59064800001,"CARDINAL HEALTH TELFA ADHESIVE DRESSING 3""x4"" 7643",,,,,,6008,,21438.12,16042.619999999999,8696.811438,6508.016613,,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",,Delta 3,3958,54518,Non-Sterile,54675,55890,
,2026-02-10 00:00:00,Plan Revenue,12915,37772.6,17030.4,,,,,Delta 3,3958,54518,Non-Sterile,54675,55890,27886.882500000007,28506.591000000008,Harmac Filter Disc P3113306 Rev A,,,,,,6013,,65067,0,31565.708254,0,,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,,,3752,54497,Non-Sterile,0,0,
,,Act Revenue,0,42141.88,8515.2,,,,,,3752,54497,Non-Sterile,0,0,0,0,MPM 4 x 5 THIN FILM DRESSING STERILE MP00470,,,,,,5005,54173,42556.8,0,16785.79188,0,,IMPLUS SKIN BLISTER PADS 4742300,,Delta 4,7235,53866,Non-Sterile,127727.99999999999,55348.80000000001,
,2026-02-11 00:00:00,Plan Revenue,4920,10714.599999999999,17030.4,,,,,Delta 4,7235,53866,Non-Sterile,127727.99999999999,55348.80000000001,26913.839999999997,11662.663999999999,HARMAC PRTD DRAPE ASSEMBLY P3113231 REV.A  (ROW),,,,,,5354,,0,0,0,0,,,,,4804,54435,Non-Sterile,68378,68377.99999999999,
,,Act Revenue,0,0,9579.6,,,,,,4978,53764,Non-Sterile,29838.6,8476.875,-49.103999999999644,-13.9499999999999,EMED SOFT-SITE TEGADERM DRESSING 112X51MM  MS-0010201,,,,,,5344,,0,0,0,0,,,,,4978,53764,Non-Sterile,29838.6,8476.875,
,2026-02-12 00:00:00,Plan Revenue,,6965.599999999999,17030.4,,,,,,4804,54435,Non-Sterile,68378,68377.99999999999,34322.659999999996,34322.659999999996,"KCI PEEL AND PLACE PREVENA LONG 416697, Rev. B",,,,,,5342,52954,105120,51566.4,35643.345,17484.769650000002,,ISI LARGE ALUMI-HAND 760,,H Pack 1,1674,54394,Non-Sterile,0,0,
,,Act Revenue,,0,8515.2,,,,,Delta Pkg,5045,53227,Pre-Sterile ,44825,19397,15730.412499999999,6806.978499999999,FREUDENBERG 30cm X 47cm Nonwoven Sheets 122P0463,,,,,,6039,53933,16480,0,9704.9336,0,,MEDLINE SURESITE 4 X 4.75 MSC2304,,,1673,54393,Non-Sterile,0,0,
,2026-02-13 00:00:00,Plan Revenue,,23445.6,17030.4,,,,,,,53517,Pre-Sterile ,41076,0,14414.777999999998,0,,,,,,,3752,54497,0,0,0,0,,MPM 4 x 5 THIN FILM DRESSING STERILE MP00470,,Hudson 1,3777,54640,Non-Sterile,0,0,
,,Act Revenue,,14584.800000000001,11708.4,,,,,,6039,53933,Pre-Sterile ,16480,14584.800000000001,9704.9336,8588.866236000002,MEDLINE SURESITE 4 X 4.75 MSC2304,,,,,,3777,54640,0,0,0,0,,,,Pace,5344,54837,Non-Sterile,0,0,
