SONumber,LineNumber,ItemCode,ItemDescription,CustomerCode,CustomerName,OrderQuantity,UnitPrice,ExtendedLineAmount,Order date,Requested Ship date,lead_time_days,mfg_start_date,earliest_ship_date,feasibility,days_margin,Profit,late_penalty,holding_cost,adjusted_profit,ship_month
64853,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",30.0,5.5,165.0,2026-01-02,2026-03-31,14,2026-02-25,2026-03-11,ON_TIME,20.0,40.02084,0.0,3.0,37.02084,2026-03
64854,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",90.0,5.5,495.0,2026-01-02,2026-03-31,14,2026-02-25,2026-03-11,ON_TIME,20.0,120.06252,0.0,9.0,111.06252,2026-03
64858,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",30.0,5.5,165.0,2026-01-05,2026-04-01,14,2026-02-25,2026-03-11,ON_TIME,21.0,40.02084,0.0,3.15,36.87084,2026-03
64860,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",60.0,5.5,330.0,2026-01-05,2026-04-01,14,2026-02-25,2026-03-11,ON_TIME,21.0,80.04168,0.0,6.3,73.74168,2026-03
64861,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",90.0,5.5,495.0,2026-01-05,2026-04-01,14,2026-02-25,2026-03-11,ON_TIME,21.0,120.06252,0.0,9.450000000000001,110.61252,2026-03
64862,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",10.0,5.5,55.0,2026-01-05,2026-04-01,14,2026-02-25,2026-03-11,ON_TIME,21.0,13.34028,0.0,1.05,12.29028,2026-03
64863,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",180.0,5.5,990.0,2026-01-05,2026-04-01,14,2026-02-25,2026-03-11,ON_TIME,21.0,240.12504,0.0,18.900000000000002,221.22504,2026-03
64864,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",50.0,5.5,275.0,2026-01-05,2026-04-01,14,2026-02-25,2026-03-11,ON_TIME,21.0,66.7014,0.0,5.25,61.45140000000001,2026-03
64865,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",20.0,5.5,110.0,2026-01-05,2026-04-01,14,2026-02-25,2026-03-11,ON_TIME,21.0,26.68056,0.0,2.1,24.58056,2026-03
64866,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",40.0,5.5,220.0,2026-01-05,2026-04-01,14,2026-02-25,2026-03-11,ON_TIME,21.0,53.36112,0.0,4.2,49.16112,2026-03
64867,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",50.0,5.5,275.0,2026-01-05,2026-04-01,14,2026-02-25,2026-03-11,ON_TIME,21.0,66.7014,0.0,5.25,61.45140000000001,2026-03
64868,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",10.0,5.5,55.0,2026-01-05,2026-04-01,14,2026-02-25,2026-03-11,ON_TIME,21.0,13.34028,0.0,1.05,12.29028,2026-03
64869,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",70.0,5.5,385.0,2026-01-05,2026-04-01,14,2026-02-25,2026-03-11,ON_TIME,21.0,93.38196,0.0,7.3500000000000005,86.03196000000001,2026-03
64870,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",170.0,5.5,935.0,2026-01-05,2026-04-01,14,2026-02-25,2026-03-11,ON_TIME,21.0,226.78476,0.0,17.85,208.93476,2026-03
