ItemCode,(All),Unnamed: 2,Unnamed: 3,ScheduledShipDate,(All).1,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,9065728.639999999,,,,,,,,,,,,,,,,,,,,
Department,Total,,,,,,Data,,,,,,,,,,,,,,,,,,,
Nexgel,13264.83,,,,7159,URGO - VASHE 250 ml OTC Flip Top 00405,9757.8,4113.418103999999,,EA,,,,,,,,,,,,,,,,
Advanced Science Laboratories Inc,12733.6,,,,7152,URGO - VASHE 118 ml Flip Top 00312,504422.64,205928.035416,,EA,4128,0,,,,,,,,,,,,,,
DeRoyal Accounts Payable Dept,11088,,,,7155,URGO - VASHE 250 ml Instill 00316,43382.64,29143.008131999995,,EA,60000,0,,,,,60000,,,,,,,,,
Monaderm,6560,,,,7156,URGO - VASHE 475 ml Instill 00317,281940,178209.61200000002,,CS,7500,0,8000,7500,,,6250,,,3750,,,,,,
"DermaClip US, LLC",2039.73,,,,N-4009                  ,Artwork Prep/Plate Fee(s),1200,,,EA,45000,0,,60000,,,,,50000,,,,,,,
Grand Total,9065728.64,,,,7158,URGO - VASHE 1 L Flip Top 00322,52810.56,27105.900096000005,,GM,750000,0,,,,,,,,,,,,,,
,,,,,7157,URGO - VASHE 1 L Instill 00323,68413.68,37737.16592399999,,EA,2076,0,,,,,,,,,,,,,,
,,,,Harmac Medical Products,N-4001                  ,,6700,,,EA,71631,0,,,,,,,,,,,,,,
,,,,,3958,Harmac Filter Disc P3113306 Rev E,164025,85671.4725,,EA,35000,0,35000,,,,,,,,,,,,,
,,,,,7235,HARMAC PRTD DRAPE ASSEMBLY P3113231 REV.C  (ROW),250128,153319.68000000002,,,,,,,,,,,,,,,,,,
,,,,,,HARMAC PRTD DRAPE ASSEMBLY P3113231 REV.A  (ROW),125064,76659.84000000001,,,,,,,,,,,,,,,,,,
,,,,,7993,200 RC Filter,16750,16750,,,,,,,,,,,,,,,,,,
,,,,,7992,Port Drape,6250,5600.000000000001,,,,,,,,,,,,,,,,,,
,,,,Medline Assembly Slovakia S.R.O,3850,MEDISTRIP 1/2 IN X 4 IN BULK NONSTERILE 3/CD,27202,10566.111192,,,,,,,,,,,,,,,,,,
,,,,,3853,MEDISTRIP 1 IN X 4 IN BULK NON-STERILE,5109,1625.24739,,,,,,,,,,,,,,,,,,
,,,,,3849,MEDISTRIP 1/4 IN X 1.5 IN BULK NON-STERILE,1815,44.09349999999998,,,,,,,,,,,,,,,,,,
,,,,,3851,MEDISTRIP 1/4 IN X 4 IN BULK NON-STERILE 5/CD,2145,-63.813727999999855,,,,,,,,,,,,,,,,,,
,,,,,3852,MEDISTRIP 1/4 IN X 3 IN BULK NON-STERILE,952,405.068,,,,,,,,,,,,,,,,,,
,,,,Medline Assembly France SAS,3850,MEDISTRIP 1/2 IN X 4 IN BULK NONSTERILE 3/CD,27202,10566.111192,,,,,,,,,,,,,,,,,,
,,,,,3853,MEDISTRIP 1 IN X 4 IN BULK NON-STERILE,786,250.03805999999997,,,,,,,,,,,,,,,,,,
,,,,,3849,MEDISTRIP 1/4 IN X 1.5 IN BULK NON-STERILE,165,4.008499999999998,,,,,,,,,,,,,,,,,,
,,,,,3851,MEDISTRIP 1/4 IN X 4 IN BULK NON-STERILE 5/CD,2925,-87.0187199999998,,,,,,,,,,,,,,,,,,
,,,,,3852,MEDISTRIP 1/4 IN X 3 IN BULK NON-STERILE,476,202.534,,,,,,,,,,,,,,,,,,
