SONumber,LineNumber,ItemCode,ItemDescription,CustomerCode,CustomerName,ItemSalesClassCode,OrderQuantity,UnitPrice,ExtendedLineAmount,Order date,Requested Ship date,lead_time_days,mfg_start_date,earliest_ship_date,feasibility,days_margin,Profit,gp_pct_cost_sheet,profit_estimated,ship_month
64786,1,7153,URGO - VASHE 250 ml Flip Top 00313,URGO      ,URGO Medical,Filling OP,45000.0,1.88,84600.0,2025-11-26,2026-04-06,0,2026-02-25,2026-02-25,ON_TIME,40.0,34220.51999999999,0.4044978723404254,34220.51999999999,2026-02
64787,1,7153,URGO - VASHE 250 ml Flip Top 00313,URGO      ,URGO Medical,Filling OP,50004.0,1.88,94007.52,2025-11-26,2026-04-13,0,2026-02-25,2026-02-25,ON_TIME,47.0,38025.84182399999,0.4044978723404254,38025.84182399999,2026-02
64757,1,6370,TB DRY MOUTH TINGLING RINSE 16 OZ BULK 40101908,ORORA     ,Orora Business Service Center,Filling OP,17475.0,1.7789,31086.28,2025-11-13,2025-12-05,0,2026-02-25,2026-02-25,LATE,-82.0,11457.361425,0.3685665298780145,11457.362346416325,2026-02
64788,1,7154,URGO - VASHE 475 ml Flip Top 00314,URGO      ,URGO Medical,Filling OP,30000.0,2.59,77700.0,2025-11-26,2026-03-16,0,2026-02-25,2026-02-25,ON_TIME,19.0,36058.83,0.4640776061776061,36058.829999999994,2026-02
63455,30,6011,MEDLINE CURAD MEDISTRIP 1/4 X 4 IN STERILE NON250414,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,182.0,127.14,23139.48,2024-10-29,2025-01-28,14,2026-02-25,2026-03-11,LATE,-407.0,10556.158522000002,0.4561968774579204,10556.158522,2026-03
63558,10,6011,MEDLINE CURAD MEDISTRIP 1/4 X 4 IN STERILE NON250414,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,26.0,127.14,3305.64,2024-11-22,2025-02-21,14,2026-02-25,2026-03-11,LATE,-383.0,1508.022646,0.4561968774579204,1508.0226460000001,2026-03
63559,30,6011,MEDLINE CURAD MEDISTRIP 1/4 X 4 IN STERILE NON250414,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,8.0,127.14,1017.12,2024-11-22,2025-02-21,14,2026-02-25,2026-03-11,LATE,-383.0,464.006968,0.4561968774579204,464.00696800000003,2026-03
63612,60,6011,MEDLINE CURAD MEDISTRIP 1/4 X 4 IN STERILE NON250414,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,104.0,127.14,13222.56,2024-12-10,2025-03-10,14,2026-02-25,2026-03-11,LATE,-366.0,6032.0905840000005,0.4561968774579204,6032.0905840000005,2026-03
63836,10,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,3.0,123.0,369.0,2025-02-18,2025-05-13,14,2026-02-25,2026-03-11,LATE,-302.0,180.164301,0.4882501382113821,180.164301,2026-03
63843,20,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,1.0,123.0,123.0,2025-02-18,2025-05-13,14,2026-02-25,2026-03-11,LATE,-302.0,60.054767,0.4882501382113821,60.054767,2026-03
