Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Sterile,,,,,,,,
Pre-Sterile ,,ItemCode,ItemDescription,Price,Cost,GP,Gp%,
,,835,HYDROMED POLY TIE 1 X 30 W/ADH TAB,0.075,0.034381,0.040618999999999995,0.5415866666666667,
,,874,HEMCON 3.625X3.625 FOAM DRG RM7006 - REV 4,0.25,0.139502,0.11049800000000001,0.44199200000000005,
,,879,BUSSE 1/2 IN X 4 IN WC STRIPS 4383C,0.23,0.153727,0.07627300000000001,0.3316217391304348,
,,931,MPM 6 X 8 (4.25 X 6 PAD) WOUNDGUARD NON-STERILE MP00099,0.56,1.629236,-1.0692359999999999,-1.9093499999999997,
,,936,MUELLER PRTD ABR STRIPS 2 X 5 BULK MAN124,0.053,0.089528,-0.036528,-0.6892075471698113,
,,939,MUELLER PRTD ABR RL 4 IN X 10 LY MAN127A,9.03,7.572635,1.4573649999999994,0.161391472868217,
,,960,ADROIT 1.5 IN X 38 IN TAPE,0.33,0.305055,0.024944999999999995,0.07559090909090907,
,,978,"MPM CoolMagic Gel Sheet 3.75"" x 3.75"" MP00206",1.31,1.381436,-0.07143600000000006,-0.0545312977099237,
,,979,CARDINAL CIRCULAR PORT REINFORCEMENT 14811,0.062,0.050619,0.011381000000000002,0.1835645161290323,
,,992,**INACTIVE**DERMA SCIENCE AQUASITE 6X8 HYG SHT DRSG,2.43,0.329071,2.1009290000000003,0.8645798353909465,
,,993,BUSSE ADH PATCH 5.0 X 5.25  6841C-1,0.2095,0.179799,0.029701000000000005,0.14177088305489263,
,,1029,**INACTIVE**S&N 4X4 COVRSITE DRSG 10/BX 59714000,2.2,3.049931,-0.8499309999999998,-0.3863322727272726,
,,1040,MPM Foam Dressing Bordered 4x4 Overall 2x2 Pad MP00500CN,0.4995,0.470374,0.029125999999999985,0.05831031031031028,
,,1041,"MPM Foam Dressing Bordered 6x6 Overall, 4x4 Pad MP00502CN",1.04,1.008865,0.031135000000000135,0.029937500000000127,
,,1042,MPM Foam Dressing Non-Bordered 2x2 Pad MP00510,0.39,0.356046,0.03395400000000004,0.08706153846153857,
,,1043,MPM WOUNDGARD 4X4 DRSG STERILE,0.2258,0.471287,-0.245487,-1.0871877767936227,
,,1044,MPM WOUNDGARD 5X5 DRSG STERILE,0.5,0.664975,-0.16497499999999998,-0.32994999999999997,
,,1076,DERMA SCIENCE SORBACELL FM DRSG 4 X 4  RM84344,0.8164,0.27879,0.53761,0.6585129838314552,
,,1078,**INACTIVE**AFASSCO  2X3 AQUA SKIN BURN DRSG,0.861,0.444984,0.416016,0.48317770034843205,
,,1080,BRAZA PETAL TOPS - COCOA,0.0492,0.038694,0.010506000000000001,0.21353658536585368,
,,1086,"**INACTIVE**HDS HYDGL W ZINC, ALOE 13.25 IN",26.08,35.564,-9.484000000000002,-0.3636503067484663,
,,1102,MUELLER MORE SKIN 12 X 12,5.51,4.820237,0.6897630000000001,0.12518384754990927,
,,1104,DERMA SCIENCE SORBACELL FOAM DRSG  2 X 2 RM84322,0.26,0.225262,0.03473800000000002,0.13360769230769237,
,,1113,MUELLER BLISTER PADS MAN229,0.102,0.046773,0.05522699999999999,0.5414411764705882,
,,1122,"Non-woven Medical Tape  3M 1533-L 6"" X 72 YDS",72.41,53.02174,19.388259999999995,0.2677566634442756,
,,1157,DERMA SCIENCE SORBACELL FOAM DRSG 1X8 RM84318,0.462,0.824195,-0.362195,-0.7839718614718614,
,,1166,DERMA SCIENCE FOAM TRACH DRSG 4X4 RM84501,1.17,0.702139,0.46786099999999997,0.3998811965811966,
,,1167,DERMA/MCKESS  P/L 2X2 HYG SHT STERILE MCK6182022,36.4,53.889451,-17.489451000000003,-0.48047942307692315,
,,1168,DERMA/MCKESS P/L 2X3 HYG SHT STERILE MCK6182023,83.62,47.280079,36.339921000000004,0.43458408275532173,
,,1170,DERMA/MCKESS P/L 6X8 HYG SHT  STERILE MCK6182068,158.62,135.483918,23.136082000000016,0.14585854242844543,
,,1173,GENESIS BIO CLEAR PATCH,0.15,0.115158,0.034842,0.23228,
,,1179,ANS WINDW MASKING TAPE  LARGE B2,0.42,0.025558,0.39444199999999996,0.939147619047619,
,,1239,"MPM Cool Magic Gel Sheet 8"" X12"" MP00209",7.44,5.413087,2.0269130000000004,0.2724345430107527,
,,1243,**INACTIVE**BARD VIGILON  13X24 HYGEL DRSG NS,9.2,0,9.2,1,
,,1246,PRTD POUCH TYVEK 5.62 IN MPM 4X4 ML DRSG (SUB),0.041,0.060668,-0.019667999999999998,-0.47970731707317066,
,,1256,AHS MONTGOMERY STRAPS,0.153,0.087892,0.065108,0.4255424836601307,
,,1261,**INACTIVE**MPM WOUNDGARD 2X2 DRSG STERILE,0.18,0.216529,-0.036529000000000006,-0.20293888888888892,
,,1262,**INACTIVE**2 X 2 (1.0 X 1.0) SSL UP,0.18,0.025722,0.154278,0.8571,
,,1271,MUELLER ADH KNIT SHEET 6X10 FLESH,0.436,0.338037,0.09796300000000002,0.2246857798165138,
,,1301,DERMA/MCKESSON 2.375 X 2.75 THIN FILM DRSG STERILE MCK6183023,78.28,67.65475,10.625249999999994,0.1357339039345937,
,,1302,DERMA/MCKESSON 4 X  4.75 THIN FILM DRSG STERILE MCK6183045,82.4,67.228725,15.171275000000009,0.1841174150485438,
,,1303,DERMA/MCKESSON 6 X 8 THIN FILM DRSG STERILE 61-83068,71.07,60.230468,10.839531999999991,0.15251909385113258,
,,1304,DERMA/MCKESSON 2.375  X  2.75 TAB DEL DRSG STERILE MCK6183123,288.4,120.665141,167.73485899999997,0.5816049202496532,
,,1306,"ALPHAPROTECH 3M 9877 2 SIDE TAPE .5""  W/ .125"" EXT",11.07,8.9433,2.1266999999999996,0.19211382113821135,
,,1372,MEDLINE CVS 2.375 X 2.75 IN THIN FILM DRSG CVS310408,43.18,60.684271,-17.504271000000003,-0.4053791338582678,
,,1411,PHARMCHEM 2.375 X 2.75 PHARMCHEK DRSG STERILE,1.39,0.468652,0.9213479999999998,0.6628402877697841,
,,1435,LSL WOUND CLOS. STRPS 3 STRP/CD 1/2 IN X 4 IN BULK - 055,0.1084,0.125168,-0.016768000000000005,-0.1546863468634687,
,,1481,"MEDI-DYNE BRAND HGEL 1"" SQ IN JARS",9.32,8.803261,0.5167390000000012,0.055444098712446474,
,,1484,"MEDI-DYNE BRAND HGEL 3"" IN JARS",13.5,13.648494,-0.14849399999999946,-0.010999555555555516,
,,1489,"MUELLER 6"" x 10yd ABS ROLL",11.63,11.837251,-0.2072509999999994,-0.017820378331900207,
,,1494,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,56,85.46562,-29.46562,-0.5261717857142857,
,,1496,ANTI FOG SPONGE GREEN 2 x 2  70079641,0.12,0.0786,0.04139999999999999,0.345,
,,1502,MPM Foam Dressing Non-Bordered 4x4 Pad MP00511,0.89,0.628153,0.26184700000000005,0.29421011235955064,
,,1503,MPM NON BORDERED FOAM DRESSING 6X6 MP00512,2.05,1.474969,0.5750309999999998,0.28050292682926825,
,,1534,MEDISTRIP 1X5 PRTD TYVEK 3.62 IN.,0.03,0.03138,-0.0013799999999999993,-0.04599999999999998,
,,1572,BOX 10 X 8 X 3   S-4851,0.33,0.523,-0.193,-0.5848484848484848,
,,1640,MEDRAD HANDI STRIP AND DISPOSABLE COMBO Rev. G,1.6,1.489005,0.11099500000000018,0.06937187500000011,
,,1643,CS MEDRAD HANDI STRIP (SUB),0.08,0.365749,-0.285749,-3.5718624999999995,
,,1647,MPM Foam Dressing Bordered 6 x 6 Pad MP00506,2.8,2.589079,0.21092099999999991,0.07532892857142855,
,,1670,CAT-TTS-1 USA (ARTWORK# 10003925/02),0.1656,0.150077,0.015523000000000009,0.09373792270531407,
,,1671,CAT-TTS-2 - USA (ARTWORK# 10003924/03),0.1683,0.132689,0.035611000000000004,0.211592394533571,
,,1672,CAT-TTS-3 -USA (10003923/02),0.3626,0.1873,0.17529999999999998,0.4834528405956977,
,,1673,BI OVERLAY #1 - ITALY,0.1656,0.120435,0.045165,0.2727355072463768,
,,1674,BI OVERLAY #2 - ITALY,0.1683,0.139496,0.028803999999999996,0.171146761734997,
,,1744,MPM COOL MAGIC 1 3/4 GEL PAD 510/CASE MP00219C,0.79,0.486994,0.30300600000000005,0.3835518987341773,
,,1791,PHARMCHEM 4 X 5 PATCH OVERLAY W/ HOLE,0.2835,0.188353,0.09514699999999998,0.33561552028218694,
,,1820,DERMA SCIENCE 4X4 BORDERED DRESSING BULK RM89044,0.16,0.155752,0.004248000000000002,0.02655000000000001,
,,1862,DERMA SCIENCES 4X4 PU BG BULK - RM89144,0.312,0.176643,0.135357,0.43383653846153847,
,,1879,BRAZA STRAPKEEPERS - MED - BEIGE,0.0448,0.02006,0.024739999999999998,0.5522321428571428,
,,1885,DERMA SCIENCE 6 X 6 BORDERED GAUZE BULK - RM89066,0.304,0.206694,0.097306,0.3200855263157895,
,,1886,DERMA SCIENCE 4 X 8 BORDERED GAUZE BULK-RM89048,0.45,0.322935,0.12706499999999998,0.2823666666666666,
,,1887,DERMA SCIENCE 2 X 2 BORDERED GAUZE BULK - RM89022,0.08,0.047676,0.032324,0.40404999999999996,
,,1888,DERMA SCIENCE 4 X 10 BORDERED GAUZE BULK RM89041,0.42,0.377775,0.04222499999999996,0.10053571428571419,
,,1889,DERMA SCIENCE 6 X 6 COMPOSITE DRESSING BULK - RM89166,0.47,0.281207,0.188793,0.4016872340425532,
,,1890,DERMA SCIENCE 6 X 8 PU SONTARA BORDERED GAUZE BULK - RM89168,0.584,0.441964,0.14203599999999994,0.2432123287671232,
,,1915,DERMA SCIENCE 4 x 14 BRD DRESS BULK RM89042,0.693,0.629737,0.06326299999999996,0.09128860028860024,
,,1917,EMED  2.375 X 2.75 PRTD DRESS,0.116295,0.064405,0.05188999999999999,0.44619287157659393,
,,1924,3M 9832 8.0 IN X 301 LY,491.04,407.571631,83.468369,0.16998283031932224,
,,1925,3M 9832 10.0 IN X 301 LY,613.8,424.931538,188.86846199999997,0.307703587487781,
,,1934,HYDROFERA THIN FILM 4X5 BULK,0.32052,0.161085,0.15943500000000002,0.49742605765630854,
,,1960,DERMA SCIENCE 4 X 6 BORD DRSG BULK RM89046,0.32,0.225944,0.094056,0.293925,
,,1983,MPM Excel Foam Non-Bordered 4x4 Fenestrated Drsg MP00522,0.5881,0.562047,0.026052999999999993,0.04430028906648528,
,,1984,MPM Excel Foam Non-Bordered 4x4 Dressing MP00520,0.48,0.574102,-0.09410200000000002,-0.1960458333333334,
,,1994,**INACTIVE**S. EAGLE WALGREENS TAN M/L,0.053,0,0.053,1,
,,2046,DERMA SCIENCE 6 X 8 BRDRD DSG BULK - RM89068,0.5,0.349924,0.150076,0.300152,
,,2069,"**INACTIVE**CARE GUIDE FOAM , 5/BAG",0.035,0.147283,-0.112283,-3.2080857142857138,
,,2082,"1/4""THK X 1/2"" X 50 LF WHITE X-LINK FOAM W/PSA-1",0.046,0.0523,-0.0063,-0.13695652173913045,
,,2086,SUWELACK PURACOL 2 X 2 MSC8522,13,10.328803,2.6711969999999994,0.20547669230769225,
,,2087,SUWELACK PURACOL 2 X 2 BULK MSC8522BB,78,50.107065,27.892935,0.3576017307692308,
,,2088,SUWELACK PURACOL 4 X 4.25 MSC8544,24.96,19.540823,5.419177000000001,0.21711446314102567,
,,2089,SUWELACK PURACOL 4 X 4.25 BULK MSC8544BB,148.32,163.298913,-14.978913000000006,-0.10099051375404534,
,,2114,PSS 6 X 6 BRDRD GAUZE DRSG NS  4791,35.57,35.103398,0.46660200000000174,0.013117852122575253,
,,2115,PSS 4 X 4 BRDRD GAUZE DRSG NS  4790,18.34,21.145769,-2.8057690000000015,-0.15298631406761187,
,,2116,"PSS 6"" x 10 LY RETENTION TAPE  4811",122.52,122.885576,-0.36557600000000434,-0.002983806725432618,
,,2117,"PSS 2"" X 10 LY RETENTION TAPE  4809",40.68,49.008661,-8.328660999999997,-0.20473601278269413,
,,2118,"PSS 4"" X 10 LY RETENTION TAPE  4810",77.76,95.094513,-17.334513,-0.2229232638888889,
,,2124,"""Discontinued"" 3M 9943J Hydrocolloid (18 MIL) 9.25""x75 yards",590,458.9848,131.0152,0.22205966101694913,
,,2141,**INACTIVE**BOX 20 X 16 X 16 #S-4645,1.65,1.7259,-0.07590000000000008,-0.04600000000000005,
,,2178,ETHICON STARGATE ARM WRAP  (Rev. D) D17263P01,3.38,2.068845,1.3111549999999998,0.38791568047337277,
,,2300,ARGENTUM 3 x 16 PAD NS; BULK,0.49,0.405394,0.08460600000000001,0.172665306122449,
,,2301,ARGENTUM 3 X 8 PAD NS; BULK,0.4,0.175886,0.22411400000000004,0.560285,
,,2326,DERMA/MCKESS P/L 4X4 HYG SHT  STERILE (SUB),0.73,0.880146,-0.150146,-0.20567945205479451,
,,2341,TATUDERM ROLLS 6 IN X 180 IN TD6X180-10,93,104.793324,-11.793323999999998,-0.12680993548387096,
,,2354,GENERAL ECONOPAK FACE SHIELD,0.91,1.01772,-0.10771999999999993,-0.11837362637362629,
,,2379,AHS I V TAPE CARD,0.138,0.065723,0.07227700000000001,0.5237463768115942,
,,2390,"PURACOL PLUS EP 2"" X 2.25"" MSC8622EP",20.28,19.167918,1.112082000000001,0.05483639053254442,
